country,year,gdp_growth,growth_change,gdp_rolling_avg,cumulative_growth,growth_category
GRC,2023,2.135911,0.6627860000000001,-0.6949016666666666,-6.203981000000001,Moderate Growth
GRD,2009,-6.613281,,-6.613281,-6.613281,Negative Growth
GRD,2010,-0.511146,6.102135,-3.5622135,-7.124427,Negative Growth
GRD,2017,4.438676,4.949822,-0.8952503333333333,-2.6857509999999998,Moderate Growth
GRD,2023,4.526575,0.08789900000000017,2.818035,1.8408240000000005,Moderate Growth
GRL,2009,0.865952,,0.865952,0.865952,Low Growth
GRL,2010,1.735825,0.8698729999999999,1.3008885000000001,2.6017770000000002,Low Growth
GRL,2017,0.052728,-1.683097,0.8848349999999999,2.654505,Low Growth
GRL,2023,0.865962,0.813234,0.8848383333333333,3.520467,Low Growth
GTM,2009,0.476898,,0.476898,0.476898,Low Growth
GTM,2010,2.884175,2.407277,1.6805364999999999,3.3610729999999998,Moderate Growth
GTM,2017,3.079851,0.19567600000000018,2.1469746666666665,6.440924,Moderate Growth
GTM,2023,3.533158,0.4533069999999997,3.1657279999999997,9.974082,Moderate Growth
GUM,2009,0.438684,,0.438684,0.438684,Low Growth
GUM,2010,2.263252,1.824568,1.350968,2.701936,Moderate Growth
GUM,2017,0.8901,-1.3731520000000002,1.1973453333333333,3.592036,Low Growth
GUY,2005,-1.950958,,-1.950958,-1.950958,Negative Growth
GUY,2009,3.611508,5.562466000000001,0.8302750000000001,1.6605500000000002,Moderate Growth
GUY,2017,3.734492,0.12298399999999976,1.7983473333333333,5.395042,Moderate Growth
HIC,2002,1.638892,,1.638892,1.638892,Low Growth
HIC,2004,3.515051,1.8761590000000001,2.5769715,5.153943,Moderate Growth
HIC,2008,0.689193,-2.825858,1.947712,5.843136,Low Growth
HIC,2010,3.046671,2.357478,2.4169716666666665,8.889807000000001,Moderate Growth
HIC,2015,2.344258,-0.702413,2.0267073333333334,11.234065000000001,Moderate Growth
HIC,2019,1.894575,-0.44968300000000005,2.428501333333333,13.12864,Low Growth
HKG,2005,7.38819,,7.38819,7.38819,High Growth
HKG,2009,-2.459153,-9.847343,2.4645184999999996,4.929036999999999,Negative Growth
HKG,2017,3.796111,6.255264,2.9083826666666663,8.725147999999999,Moderate Growth
HKG,2018,2.846951,-0.94916,1.3946363333333334,11.572099,Moderate Growth
HND,2005,6.050599,,6.050599,6.050599,High Growth
HND,2009,-2.431628,-8.482227,1.8094855,3.618971,Negative Growth
HND,2017,4.842914,7.274542,2.8206283333333335,8.461885,Moderate Growth
HND,2018,3.844995,-0.9979190000000004,2.085427,12.30688,Moderate Growth
HPC,2002,3.912135,,3.912135,3.912135,Moderate Growth
HPC,2004,5.766957,1.8548219999999995,4.839546,9.679092,Moderate Growth
HPC,2008,5.620804,-0.14615299999999998,5.0999653333333335,15.299896,Moderate Growth
HPC,2010,6.168056,0.5472520000000003,5.851939000000001,21.467952,High Growth
HPC,2015,4.906846,-1.2612100000000002,5.565235333333333,26.374798,Moderate Growth
HPC,2019,4.204828,-0.7020179999999998,5.093243333333333,30.579625999999998,Moderate Growth
HRV,2009,-6.812312,,-6.812312,-6.812312,Negative Growth
HRV,2019,3.101527,9.913839,-1.8553925000000002,-3.7107850000000004,Moderate Growth
HTI,2005,3.072173,,3.072173,3.072173,Moderate Growth
HTI,2009,5.890379,2.8182060000000004,4.481276,8.962552,Moderate Growth
HTI,2017,2.510271,-3.3801080000000003,3.8242743333333333,11.472823,Moderate Growth
HUN,2005,4.300283,,4.300283,4.300283,Moderate Growth
HUN,2009,-6.740166,-11.040449,-1.2199415,-2.439883,Negative Growth
HUN,2017,4.124184,10.86435,0.5614336666666665,1.6843009999999996,Moderate Growth
HUN,2018,5.606138,1.481954,0.9967186666666663,7.290438999999999,Moderate Growth
HUN,2019,5.077185,-0.5289529999999996,4.935835666666667,12.367624,Moderate Growth
IBD,2002,4.513915,,4.513915,4.513915,Moderate Growth
IBD,2004,7.729472,3.2155570000000004,6.1216935,12.243387,High Growth
IBD,2008,5.939093,-1.7903790000000006,6.060826666666666,18.182479999999998,Moderate Growth
IBD,2010,7.769139,1.8300460000000003,7.145901333333334,25.951619,High Growth
IBD,2015,4.317245,-3.4518940000000002,6.008492333333333,30.268864,Moderate Growth
IBD,2019,3.990804,-0.326441,5.3590626666666665,34.259668,Moderate Growth
IBT,2001,3.682514,,3.682514,3.682514,Moderate Growth
IBT,2002,4.59432,0.9118059999999999,4.138417,8.276834,Moderate Growth
IBT,2004,7.644558,3.0502380000000002,5.307130666666667,15.921391999999999,High Growth
IBT,2008,5.867673,-1.776885,6.035517,21.789065,Moderate Growth
IBT,2010,7.640876,1.7732029999999996,7.0510356666666665,29.429941,High Growth
IBT,2015,4.248558,-3.3923179999999995,5.919035666666666,33.678499,Moderate Growth
IBT,2019,3.986064,-0.2624940000000002,5.291832666666667,37.664563,Moderate Growth
IDA,2001,4.047119,,4.047119,4.047119,Moderate Growth
IDA,2002,5.469515,1.422396,4.758317,9.516634,Moderate Growth
IDA,2008,5.035052,-0.43446300000000004,4.850562,14.551686,Moderate Growth
IDA,2015,3.433062,-1.6019900000000002,4.645876333333334,17.984748,Moderate Growth
IDA,2019,3.927702,0.49463999999999997,4.131938666666667,21.91245,Moderate Growth
IDB,2001,3.970864,,3.970864,3.970864,Moderate Growth
IDB,2002,6.396161,2.425297,5.1835125,10.367025,High Growth
IDB,2004,7.380961,0.9847999999999999,5.915995333333334,17.747986,High Growth
IDB,2008,4.176731,-3.20423,5.984617666666668,21.924717,Moderate Growth
IDB,2010,5.943463,1.7667320000000002,5.833718333333334,27.868180000000002,Moderate Growth
IDB,2015,3.835202,-2.108261,4.651798666666667,31.703382,Moderate Growth
IDB,2019,3.022958,-0.8122440000000002,4.267207666666667,34.72634,Moderate Growth
IDN,2005,5.692571,,5.692571,5.692571,Moderate Growth
IDN,2009,4.628871,-1.0636999999999999,5.160721000000001,10.321442000000001,Moderate Growth
IDN,2017,5.069786,0.4409149999999995,5.130409333333334,15.391228,Moderate Growth
IDN,2018,5.174292,0.10450600000000065,4.957649666666668,20.56552,Moderate Growth
IDN,2019,5.019288,-0.15500399999999992,5.087788666666667,25.584808000000002,Moderate Growth
IDX,2001,4.12619,,4.12619,4.12619,Moderate Growth
IDX,2002,4.510087,0.38389700000000015,4.3181385,8.636277,Moderate Growth
IDX,2008,5.925327,1.4152399999999998,4.853868,14.561604,Moderate Growth
IDX,2015,3.017686,-2.9076410000000004,4.484366666666667,17.57929,Moderate Growth
IDX,2019,4.822154,1.8044680000000004,4.588389,22.401444,Moderate Growth
IMN,2005,5.899999,,5.899999,5.899999,Moderate Growth
IMN,2009,2.1,-3.799999,3.9999995000000004,7.999999000000001,Moderate Growth
IMN,2017,2.837758,0.7377579999999999,3.6125856666666665,10.837757,Moderate Growth
IMN,2018,2.213398,-0.6243599999999998,2.3837186666666668,13.051155000000001,Moderate Growth
IMN,2019,0.254878,-1.9585200000000003,1.7686780000000002,13.306033000000001,Low Growth
IND,2005,7.923431,,7.923431,7.923431,High Growth
IND,2009,7.861889,-0.06154200000000021,7.892659999999999,15.785319999999999,High Growth
IND,2017,6.795383,-1.0665059999999995,7.526901,22.580703,High Growth
IND,2018,6.453851,-0.34153199999999995,7.037040999999999,29.034554,High Growth
IND,2019,3.871437,-2.5824140000000004,5.706890333333334,32.905991,Moderate Growth
IRL,2005,5.739782,,5.739782,5.739782,Moderate Growth
IRL,2009,-5.095783,-10.835564999999999,0.3219995,0.643999,Negative Growth
IRL,2017,10.108858,15.204640999999999,3.5842856666666663,10.752856999999999,High Growth
IRL,2018,7.688659,-2.4201989999999993,4.233911333333334,18.441516,High Growth
IRL,2019,4.97288,-2.7157790000000004,7.590132333333334,23.414396,Moderate Growth
IRN,2005,3.189804,,3.189804,3.189804,Moderate Growth
IRN,2009,1.007385,-2.1824190000000003,2.0985945,4.197189,Low Growth
IRN,2017,3.026855,2.01947,2.408014666666667,7.224044,Moderate Growth
IRN,2018,-3.74796,-6.774815,0.09542666666666684,3.476084,Negative Growth
IRN,2019,-2.361435,1.3865249999999998,-1.0275133333333333,1.114649,Negative Growth
IRQ,2005,1.675229,,1.675229,1.675229,Low Growth
IRQ,2009,3.379299,1.70407,2.527264,5.054528,Moderate Growth
IRQ,2017,-1.81975,-5.1990490000000005,1.0782593333333332,3.234778,Negative Growth
IRQ,2018,2.633851,4.453601,1.3978,5.868629,Moderate Growth
IRQ,2019,5.513791,2.8799400000000004,2.1092973333333336,11.38242,Moderate Growth
ISL,2005,7.029341,,7.029341,7.029341,High Growth
ISL,2009,-8.321464,-15.350805000000001,-0.6460615000000005,-1.292123000000001,Negative Growth
ISL,2017,3.485067,11.806531,0.7309813333333329,2.192943999999999,Moderate Growth
ISL,2018,4.66077,1.1757030000000004,-0.058542333333333474,6.853713999999999,Moderate Growth
ISL,2019,1.138212,-3.522558,3.094683,7.991925999999999,Low Growth
ISR,2005,4.387789,,4.387789,4.387789,Moderate Growth
ISR,2009,1.237732,-3.1500569999999994,2.8127605,5.625521,Low Growth
ISR,2017,4.346931,3.1091989999999994,3.3241506666666667,9.972452,Moderate Growth
ISR,2018,4.003899,-0.343032,3.196187333333333,13.976351,Moderate Growth
ISR,2019,3.710496,-0.29340299999999964,4.020442,17.686847,Moderate Growth
ITA,2009,-5.305154,,-5.305154,-5.305154,Negative Growth
ITA,2017,1.6037,6.908854,-1.850727,-3.701454,Low Growth
ITA,2019,0.429163,-1.174537,-1.0907636666666667,-3.272291,Low Growth
JAM,2001,1.34493,,1.34493,1.34493,Low Growth
JAM,2009,-4.345302,-5.690232,-1.5001860000000002,-3.0003720000000005,Negative Growth
JAM,2019,1.809431,6.154733,-0.3969803333333335,-1.1909410000000005,Low Growth
JOR,2001,5.269958,,5.269958,5.269958,Moderate Growth
JOR,2008,7.220386,1.9504280000000005,6.245172,12.490344,High Growth
JPN,2001,0.386103,,0.386103,0.386103,Low Growth
JPN,2008,-1.224289,-1.610392,-0.419093,-0.838186,Negative Growth
JPN,2009,-5.693236,-4.468947,-2.177140666666667,-6.531422,Negative Growth
JPN,2019,-0.402169,5.291067,-2.439898,-6.933591,Negative Growth
KAZ,2001,13.5,,13.5,13.5,High Growth
KAZ,2008,3.3,-10.2,8.4,16.8,Moderate Growth
KEN,2001,3.779906,,3.779906,3.779906,Moderate Growth
KEN,2008,0.232283,-3.547623,2.0060945,4.012189,Low Growth
KGZ,2001,5.321621,,5.321621,5.321621,Moderate Growth
KGZ,2008,8.401616,3.0799950000000003,6.8616185000000005,13.723237000000001,High Growth
KHM,2003,10.283681,,10.283681,10.283681,High Growth
KHM,2007,10.398458,0.11477700000000013,10.3410695,20.682139,High Growth
KHM,2009,4.074779,-6.323678999999999,8.252305999999999,24.756918,Moderate Growth
KHM,2012,7.650257,3.5754779999999995,7.374498,32.407175,High Growth
KHM,2018,8.776224,1.1259669999999993,6.833753333333334,41.183398999999994,High Growth
KHM,2020,-3.555722,-12.331945999999999,4.290253000000001,37.627677,Negative Growth
KIR,2001,-3.144129,,-3.144129,-3.144129,Negative Growth
KIR,2008,-2.984731,0.15939799999999993,-3.0644299999999998,-6.1288599999999995,Negative Growth
KNA,1999,3.219886,,3.219886,3.219886,Moderate Growth
KNA,2011,1.616607,-1.603279,2.4182465,4.836493,Low Growth
KNA,2013,5.727281,4.1106739999999995,3.5212579999999996,10.563773999999999,Moderate Growth
KNA,2016,3.932703,-1.7945779999999996,3.7588636666666666,14.496476999999999,Moderate Growth
KOR,2001,4.725936,,4.725936,4.725936,Moderate Growth
KOR,2008,3.004405,-1.7215309999999997,3.8651705,7.730341,Moderate Growth
KWT,2001,0.213333,,0.213333,0.213333,Low Growth
KWT,2008,2.479757,2.266424,1.346545,2.69309,Moderate Growth
LAC,2001,0.142934,,0.142934,0.142934,Low Growth
LAC,2003,2.387296,2.244362,1.265115,2.53023,Moderate Growth
LAC,2008,3.728402,1.341106,2.0862106666666667,6.258632,Moderate Growth
LAO,2001,5.751413,,5.751413,5.751413,Moderate Growth
LAO,2008,7.824903,2.0734899999999996,6.788158,13.576316,High Growth
LBN,2001,3.839669,,3.839669,3.839669,Moderate Growth
LBN,2008,9.069128,5.2294589999999985,6.4543985,12.908797,High Growth
LBN,2013,3.827873,-5.241254999999999,5.57889,16.73667,Moderate Growth
LBN,2014,2.48406,-1.343813,5.127020333333333,19.22073,Moderate Growth
LBR,2008,7.145691,,7.145691,7.145691,High Growth
LBR,2009,5.300541,-1.8451500000000003,6.223116,12.446232,Moderate Growth
LBR,2013,8.687288,3.3867470000000006,7.044506666666667,21.13352,High Growth
LBR,2014,0.701393,-7.985895,4.896407333333333,21.834913,Low Growth
LBY,2008,-0.162048,,-0.162048,-0.162048,Negative Growth
LBY,2009,-4.400182,-4.238134,-2.2811150000000002,-4.5622300000000005,Negative Growth
LBY,2013,-17.997962,-13.59778,-7.5200640000000005,-22.560192,Negative Growth
LBY,2014,-23.042806,-5.044843999999998,-15.146983333333333,-45.602998,Negative Growth
LCA,1999,2.670604,,2.670604,2.670604,Moderate Growth
LCA,2011,4.326943,1.656339,3.4987735,6.997547,Moderate Growth
LCA,2016,3.427872,-0.8990710000000002,3.4751396666666667,10.425419,Moderate Growth
LCN,2001,0.531564,,0.531564,0.531564,Low Growth
LCN,2003,2.210473,1.678909,1.3710185,2.742037,Moderate Growth
LCN,2008,3.690772,1.480299,2.1442696666666667,6.432809,Moderate Growth
LCN,2015,0.238233,-3.452539,2.0464926666666665,6.671042,Low Growth
LCN,2019,0.312079,0.073846,1.4136946666666665,6.983121,Low Growth
LDC,2001,4.899975,,4.899975,4.899975,Moderate Growth
LDC,2003,5.154895,0.25491999999999937,5.0274350000000005,10.054870000000001,Moderate Growth
LDC,2008,6.454266,1.2993709999999998,5.503045333333333,16.509135999999998,High Growth
LIC,2001,4.03285,,4.03285,4.03285,Moderate Growth
LIC,2003,5.676851,1.6440010000000003,4.8548504999999995,9.709700999999999,Moderate Growth
LIC,2005,6.041697,0.364846,5.250466,15.751398,High Growth
LIC,2008,4.987542,-1.0541549999999997,5.568696666666667,20.73894,Moderate Growth
LIE,2008,1.798088,,1.798088,1.798088,Low Growth
LIE,2009,-1.157483,-2.955571,0.32030249999999993,0.6406049999999999,Negative Growth
LKA,1999,4.30054,,4.30054,4.30054,Moderate Growth
LKA,2011,8.669483,4.368943,6.4850115,12.970023,High Growth
LKA,2013,4.051746,-4.617737,5.673922999999999,17.021769,Moderate Growth
LKA,2016,5.053625,1.0018790000000006,5.924951333333333,22.075394,Moderate Growth
